"reference_id","authors","year","title","journal","pmid","doi","pubmed_url"
"THOMLINSON1955","Thomlinson RH, Gray LH","1955","The histological structure of some human lung cancers and the possible implications for radiotherapy","British Journal of Cancer","13304213","10.1038/bjc.1955.55","https://pubmed.ncbi.nlm.nih.gov/13304213/"
"FREYER1988","Freyer JP","1988","Role of necrosis in regulating the growth saturation of multicellular spheroids","Cancer Research","3356007","","https://pubmed.ncbi.nlm.nih.gov/3356007/"
"DELARUE2014","Delarue M, et al.","2014","Compressive stress inhibits proliferation in tumor spheroids through a volume limitation","Biophysical Journal","25418163","10.1016/j.bpj.2014.08.031","https://pubmed.ncbi.nlm.nih.gov/25418163/"
"KYLE2004","Kyle AH, et al.","2004","Direct assessment of drug penetration into tissue using a novel application of three-dimensional cell culture","Cancer Research","15342419","10.1158/0008-5472.CAN-04-1099","https://pubmed.ncbi.nlm.nih.gov/15342419/"
"KYLE2007","Kyle AH, et al.","2007","Limited tissue penetration of taxanes: a mechanism for resistance in solid tumors","Clinical Cancer Research","17473214","10.1158/1078-0432.CCR-06-1941","https://pubmed.ncbi.nlm.nih.gov/17473214/"
"BREART2008","Breart B, et al.","2008","Two-photon imaging of intratumoral CD8+ T cell cytotoxic activity during adoptive T cell therapy in mice","Journal of Clinical Investigation","18357341","10.1172/JCI34388","https://pubmed.ncbi.nlm.nih.gov/18357341/"
"PHILIP2017","Philip M, et al.","2017","Chromatin states define tumour-specific T cell dysfunction and reprogramming","Nature","28514453","10.1038/nature22367","https://pubmed.ncbi.nlm.nih.gov/28514453/"
"MILLER2019","Miller BC, et al.","2019","Subsets of exhausted CD8+ T cells differentially mediate tumor control and respond to checkpoint blockade","Nature Immunology","30778252","10.1038/s41590-019-0312-6","https://pubmed.ncbi.nlm.nih.gov/30778252/"
"SCHARPING2021","Scharping NE, et al.","2021","Mitochondrial stress induced by continuous stimulation under hypoxia rapidly drives T cell exhaustion","Nature Immunology","33398183","10.1038/s41590-020-00834-9","https://pubmed.ncbi.nlm.nih.gov/33398183/"
"ENRIQUEZ2016","Enriquez-Navas PM, et al.","2016","Exploiting evolutionary principles to prolong tumor control in preclinical models of breast cancer","Science Translational Medicine","26912903","10.1126/scitranslmed.aad7842","https://pubmed.ncbi.nlm.nih.gov/26912903/"
"HATA2016","Hata AN, et al.","2016","Tumor cells can follow distinct evolutionary paths to become resistant to epidermal growth factor receptor inhibition","Nature Medicine","26828195","10.1038/nm.4040","https://pubmed.ncbi.nlm.nih.gov/26828195/"
"AZIZI2018","Azizi E, et al.","2018","Single-Cell Map of Diverse Immune Phenotypes in the Breast Tumor Microenvironment","Cell","29961579","10.1016/j.cell.2018.05.060","https://pubmed.ncbi.nlm.nih.gov/29961579/"
"PERANZONI2018","Peranzoni E, et al.","2018","Macrophages impede CD8 T cells from reaching tumor cells and limit the efficacy of anti-PD-1 treatment","PNAS","29632196","10.1073/pnas.1720948115","https://pubmed.ncbi.nlm.nih.gov/29632196/"
"CASAZZA2013","Casazza A, et al.","2013","Impeding macrophage entry into hypoxic tumor areas by Sema3A/Nrp1 signaling blockade inhibits angiogenesis and restores antitumor immunity","Cancer Cell","24332039","10.1016/j.ccr.2013.11.007","https://pubmed.ncbi.nlm.nih.gov/24332039/"
"LIN2006","Lin EY, et al.","2006","Macrophages regulate the angiogenic switch in a mouse model of breast cancer","Cancer Research","17114237","10.1158/0008-5472.CAN-06-1278","https://pubmed.ncbi.nlm.nih.gov/17114237/"
"SOKI2014","Soki FN, et al.","2014","Polarization of prostate cancer-associated macrophages is induced by MFG-E8-mediated efferocytosis","Journal of Biological Chemistry","25006249","10.1074/jbc.M114.571620","https://pubmed.ncbi.nlm.nih.gov/25006249/"
"WERFEL2019","Werfel TA, et al.","2019","Treatment-Induced Tumor Cell Apoptosis and Secondary Necrosis Drive Tumor Progression in the Residual Tumor Microenvironment through MerTK and IDO1","Cancer Research","30413412","10.1158/0008-5472.CAN-18-1106","https://pubmed.ncbi.nlm.nih.gov/30413412/"
"OHLUND2017","Öhlund D, et al.","2017","Distinct populations of inflammatory fibroblasts and myofibroblasts in pancreatic cancer","Journal of Experimental Medicine","28232471","10.1084/jem.20162024","https://pubmed.ncbi.nlm.nih.gov/28232471/"
"BIFFI2019","Biffi G, et al.","2019","IL1-Induced JAK/STAT Signaling Is Antagonized by TGFβ to Shape CAF Heterogeneity in Pancreatic Ductal Adenocarcinoma","Cancer Discovery","30366930","10.1158/2159-8290.CD-18-0710","https://pubmed.ncbi.nlm.nih.gov/30366930/"
"FEIG2013","Feig C, et al.","2013","Targeting CXCL12 from FAP-expressing carcinoma-associated fibroblasts synergizes with anti-PD-L1 immunotherapy in pancreatic cancer","PNAS","24277834","10.1073/pnas.1320318110","https://pubmed.ncbi.nlm.nih.gov/24277834/"
"MARIATHASAN2018","Mariathasan S, et al.","2018","TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells","Nature","29443960","10.1038/nature25501","https://pubmed.ncbi.nlm.nih.gov/29443960/"
"SALMON2012","Salmon H, et al.","2012","Matrix architecture defines the preferential localization and migration of T cells into the stroma of human lung tumors","Journal of Clinical Investigation","22293174","10.1172/JCI45817","https://pubmed.ncbi.nlm.nih.gov/22293174/"
"PROVENZANO2012","Provenzano PP, et al.","2012","Enzymatic targeting of the stroma ablates physical barriers to treatment of pancreatic ductal adenocarcinoma","Cancer Cell","22439937","10.1016/j.ccr.2012.01.007","https://pubmed.ncbi.nlm.nih.gov/22439937/"
"RHIM2014","Rhim AD, et al.","2014","Stromal elements act to restrain, rather than support, pancreatic ductal adenocarcinoma","Cancer Cell","24856585","10.1016/j.ccr.2014.04.021","https://pubmed.ncbi.nlm.nih.gov/24856585/"
"OZDEMIR2014","Özdemir BC, et al.","2014","Depletion of carcinoma-associated fibroblasts and fibrosis induces immunosuppression and accelerates pancreas cancer with reduced survival","Cancer Cell","24856586","10.1016/j.ccr.2014.04.005","https://pubmed.ncbi.nlm.nih.gov/24856586/"
