"mechanism_id","title","evidence_level","evidence_basis","model_translation","caveat","reference_ids"
"oxygen-gradients","血管供氧、细胞消耗与扩散形成空间氧梯度","人肿瘤组织观察 + 多细胞球实验","肿瘤组织和三维细胞球可形成从血管/外周向内部下降的供氧梯度，并伴随低增殖区和坏死核心。","氧气从血管线段输入，在二维网格中扩散并被细胞消耗；长期低氧增加应激与坏死概率。","二维扩散、统一耗氧和“模拟日”均是抽象；低氧边界 0.24 只是可视化代理阈值，不对应某个固定 pO₂；没有显式 HIF 或灌注动力学。","THOMLINSON1955;FREYER1988"
"space-crowding","空间拥挤与机械限制抑制增殖","三维肿瘤球直接实验支持","肿瘤球中的压缩应力和体积限制可降低核心增殖，外周保留更高增殖活性。","癌细胞只有在邻域存在空位时分裂；高邻居数使其进入拥挤静息并降低周期推进。","网格占位不是组织力学模型，不计算压力张量、黏附、细胞形变或侵袭。","DELARUE2014"
"drug-penetration","药物从血管进入并受距离与基质影响","三维培养与异种移植直接测量","多种抗癌药在组织中的暴露会随离血管距离下降；部分药物在实体瘤中的穿透范围有限。","药物由血管脉冲输入后扩散、衰减和被局部环境限制；高基质减慢扩散。","“细胞毒性治疗”是抽象类别，不对应任何具体药物、药代动力学、剂量或给药途径。","KYLE2004;KYLE2007;PROVENZANO2012"
"tcell-contact-killing","T 细胞依赖迁移、接触与重复杀伤","活体成像与单细胞观察","活体双光子成像可直接观察 CD8 T 细胞与肿瘤细胞稳定接触和细胞毒性事件。","T 细胞移动寻找邻近癌细胞，接触后按识别、环境和功能状态计算杀伤；攻击消耗能量并可重复发生。","未显式模拟抗原呈递、TCR 克隆、免疫突触、穿孔素/颗粒酶或旁观者杀伤。","BREART2008"
"tcell-dysfunction","持续刺激、低氧与抑制环境塑造不同 T 细胞功能状态","动物肿瘤单细胞、功能与代谢实验","肿瘤内耗竭样 CD8 T 细胞并非单一终点；前体样与终末样亚群具有不同的增殖潜力、肿瘤控制能力和治疗响应。持续刺激与低氧共同作用还可加速功能障碍。","v1.0 同时保存 stemlike、terminalExhaustion 与总体 exhaustion 三个代理维度。急性激活可短时支持效应功能，慢性炎症压力、持续接触和低氧推动终末化；免疫增强只能部分缓解，不会把终末状态瞬间重置。","三个归一化变量仍不是细胞谱系鉴定，也不对应 TCF1、PD-1、TIM-3 等真实标志物阈值；模型没有显式克隆追踪、淋巴结补给或表观遗传锁定。","PHILIP2017;MILLER2019;SCHARPING2021"
"clonal-selection","治疗优先清除敏感细胞，改变克隆竞争与相对组成","细胞/动物进化研究与预临床干预","耐药可由治疗前存在的亚克隆被选择，也可经药物耐受状态继续演化；保留敏感竞争者的进化策略在部分预临床模型中延长了控制。","初始场景包含低比例耐受克隆及适应度代价；治疗后敏感克隆减少、空间释放，耐受克隆相对扩张。","模型不是适应治疗处方工具；克隆性状和竞争系数未按癌种或患者校准。","HATA2016;ENRIQUEZ2016"
"trait-drift","性状漂移是可关闭的探索性简化，不是主要耐药来源","模型假设，受肿瘤进化研究启发","真实耐药可来自预存遗传变异、获得性改变和非遗传可塑性；不同路径具有不同后续生物学。","默认主要展示预存克隆的选择；低概率“性状漂移”只允许在高级参数中改变克隆身份。","该操作不能解释为某个具体突变发生，也不能据此估计突变率或耐药风险。","HATA2016"
"macrophage-continuum","巨噬细胞采用连续功能轴，而非硬性 M1/M2 二分","人体单细胞证据 + 模型抽象","肿瘤内髓系细胞呈现连续、混合且组织依赖的转录状态，经典标记并不总能形成互斥类别。","每个巨噬细胞使用 activation ∈ [-1, 1]：负值偏炎症/免疫支持，正值偏免疫抑制/修复；局部缺氧、抑制信号、炎症与吞噬死亡细胞使该值连续变化。","该一维轴只压缩功能方向；真实巨噬细胞状态是多维、组织依赖且可并存的，不能映射到命名亚群或患者样本中的精确细胞比例。","AZIZI2018"
"macrophage-hypoxia","缺氧区募集并重塑巨噬细胞功能","动物模型直接实验支持","阻止巨噬细胞进入缺氧肿瘤区域可降低其促血管与免疫抑制功能，并改变肿瘤进展。","巨噬细胞趋向坏死、炎症和低氧区域；持续低氧使功能轴向抑制/修复方向偏移，并产生有限的血管支持场。","模型没有显式模拟 Sema3A/Nrp1、HIF 或具体细胞因子；v1.0 只加入局部低氧梯度方向感知，并未解析完整趋化网络，血管支持仍是定性反馈。","CASAZZA2013;LIN2006"
"macrophage-tcell","巨噬细胞可构成 T 细胞进入与接触肿瘤细胞的障碍","人组织相关 + 动物干预证据","部分肿瘤中，巨噬细胞富集与 CD8 T 细胞难以进入肿瘤巢相关；干预巨噬细胞可改善 T 细胞接触和抗 PD-1 反应。","T 细胞附近的抑制型巨噬细胞形成局部 barrier 值，降低迁移速度、激活与杀伤概率。","这是空间和功能的合并抽象，不能解释为巨噬细胞在所有癌种中都产生同等程度的排斥。","PERANZONI2018"
